# mesh name: boxMesh_1
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
1,26,34,2.10575009710947e-08,8.008084027634809e-17,15
1,26,35,1.144522718911278e-08,3.11930914321995e-17,9
1,26,36,8.936679292949838e-09,1.14733122189596e-17,10
1,26,37,2.187954145525627e-08,1.150067108855783e-16,7
1,26,38,6.628994644783444e-09,6.510341577586921e-18,9
1,26,39,4.648622574222415e-08,3.30699932299634e-16,17
1,27,0,2.407044394405139e-08,8.637347515599034e-17,13
1,27,1,1.859721345743864e-08,6.47234194120902e-17,14
1,27,2,2.346887303685832e-08,6.45616901282817e-17,14
1,27,3,6.042731175742977e-09,6.040433923452775e-18,8
1,27,4,1.94907763936974e-08,4.392532389428043e-17,12
1,27,5,2.830123154889731e-08,1.837739015692412e-16,15
1,27,6,3.220452773198547e-08,8.996269981019211e-17,18
1,27,7,3.892097404224569e-08,3.177125640290805e-16,16
1,27,8,3.072124868793319e-08,6.631575704070421e-17,23
1,27,9,1.515708083910472e-07,4.545723235074051e-16,91
1,27,10,3.117265827861903e-07,1.044072168510391e-15,220
1,27,11,4.259316294769082e-07,4.577694932055799e-15,227
1,27,12,3.206921663976298e-07,9.457398947003562e-16,233
1,27,13,3.904963918621699e-07,2.290403568012119e-15,251
1,27,14,3.546734078332525e-07,1.597719167635816e-15,250
1,27,15,3.071246448025757e-07,1.020186284682245e-15,244
1,27,16,3.186696250310795e-07,8.243899468640201e-16,244
1,27,17,3.904519946163012e-07,1.828001853078204e-15,253
1,27,18,4.758635265277156e-07,6.189051244550609e-15,262
1,27,19,3.991703978615459e-07,6.824376188110999e-15,232
1,27,20,4.194972191882084e-07,3.051443810282677e-15,245
1,27,21,5.379695251781207e-07,6.867855248832186e-15,261
1,27,22,4.852735909970478e-07,5.781767519433314e-15,267
1,27,23,4.110755357590546e-07,2.052358654873643e-15,257
1,27,24,5.551997319286401e-07,4.480287551347857e-15,279
1,27,25,4.586663058259643e-07,3.651324275586489e-15,242
1,27,26,4.247131728709241e-07,2.469039489565661e-15,258
1,27,27,3.730568785510752e-07,2.119936735691773e-15,235
1,27,28,3.66949267053757e-07,2.637295901034147e-15,245
1,27,29,3.490118873393153e-07,1.888218218278666e-15,215
1,27,30,1.870702351257759e-07,5.24717620688641e-16,113
1,27,31,2.528383639506614e-08,5.470293585002203e-17,20
1,27,32,1.779983847048001e-08,2.977433511723813e-17,19
1,27,33,3.232796032183626e-08,1.603502045426583e-16,17
1,27,34,1.689728174904262e-08,4.887113884636959e-17,13
1,27,35,1.611933170227918e-08,5.764248454447093e-17,11
1,27,36,9.069042311860195e-09,1.484480734906081e-17,11
1,27,37,8.512547717385882e-09,1.390770225678369e-17,7
1,27,38,3.071131805355146e-09,1.906124091629548e-18,5
1,27,39,4.981422556482585e-08,8.315243477275247e-16,8
1,28,0,1.846326209489752e-08,6.612643179474163e-17,10
1,28,1,8.375887442939935e-09,1.121241800509706e-17,11
1,28,2,1.591135425545235e-08,6.908098715718644e-17,7
1,28,3,6.632666458323756e-09,1.704147514448988e-17,5
1,28,4,2.372303741733082e-09,2.483095396655565e-18,3
1,28,5,5.613059415677134e-09,6.325651511088912e-18,7
1,28,6,1.035666677493987e-08,1.505311688264644e-17,11
1,28,7,2.950653298659973e-08,2.339646321630504e-16,14
1,28,8,2.941611925268065e-08,1.580547806446949e-16,10
1,28,9,4.004371840918239e-08,7.617450786159242e-17,30
1,28,10,1.775469859814023e-07,3.605408605650042e-16,123
1,28,11,3.667409145945783e-07,2.590375960607423e-15,242
1,28,12,4.696576665147374e-07,8.315272187978874e-15,222
1,28,13,4.630697622549725e-07,5.469623634825312e-15,251
1,28,14,3.930462255828372e-07,3.326423089975367e-15,239
1,28,15,3.055532863345105e-07,1.060971326312396e-15,212
1,28,16,3.768787663485323e-07,2.64564129149242e-15,241
1,28,17,3.99896131951695e-07,1.95127415768209e-15,250
1,28,18,2.6309276076449e-07,9.49036927722679e-16,215
1,28,19,3.812589359217188e-07,3.695491613291599e-15,215
1,28,20,3.794607268854128e-07,1.908886998205849e-15,257
1,28,21,4.290624339468073e-07,4.371277631756543e-15,252
1,28,22,3.806748919307244e-07,2.247151642471315e-15,245
1,28,23,3.044089208480119e-07,1.062854696874078e-15,215
1,28,24,3.661838912854435e-07,1.262630080181135e-15,262
1,28,25,3.248583837650416e-07,1.759425514826176e-15,216
1,28,26,4.1416545761776e-07,6.678881578893536e-15,245
1,28,27,3.487465237599858e-07,1.731271644703288e-15,230
1,28,28,3.516948439903653e-07,3.136226287567569e-15,235
1,28,29,1.906789207560972e-07,4.350396417970614e-16,124
1,28,30,3.099881980494864e-08,7.247565144988727e-17,21
1,28,31,2.534254754298234e-08,6.033168966222707e-17,15
1,28,32,1.047069215762892e-08,1.706754713924802e-17,8
1,28,33,7.852720335837371e-09,1.059807128684755e-17,10
1,28,34,1.929252901054239e-08,3.5123012471722e-17,16
1,28,35,2.678219162819315e-08,1.097698946604002e-16,10
1,28,36,1.65288470291861e-08,3.111670755224915e-17,12
1,28,37,9.857825184143937e-09,1.834631002340595e-17,9
1,28,38,1.284313791644168e-08,5.829795402591227e-17,10
1,28,39,1.192067187795482e-08,3.365788423016455e-17,11
1,29,0,1.164867092329405e-08,1.486846335918067e-17,11
1,29,1,1.904102269931257e-08,7.138857386918538e-17,12
1,29,2,6.952457511142979e-08,2.925230446895359e-15,12
1,29,3,4.7253030968049e-09,6.479319508816596e-18,5
1,29,4,2.993498225371994e-08,4.010304131429743e-16,10
1,29,5,2.098883191400945e-08,1.031796028963284e-16,10
1,29,6,1.56031875710026e-08,2.910422458320133e-17,19
1,29,7,1.852372938786478e-08,4.848410069079468e-17,15
1,29,8,5.70056909175113e-09,5.368791506658255e-18,9
1,29,9,3.242541796746036e-08,3.557982012328568e-16,13
1,29,10,4.251024565134624e-08,8.409073821788725e-17,32
1,29,11,1.645334303380922e-07,3.380847660751972e-16,124
1,29,12,3.487662086327926e-07,2.256975493736246e-15,213
1,29,13,3.092197248437046e-07,9.170025540097429e-16,245
1,29,14,3.277256864567239e-07,1.692632266148626e-15,220
1,29,15,3.562207034070305e-07,2.055622639078508e-15,217
1,29,16,3.928908019388704e-07,2.197287144283649e-15,232
1,29,17,3.62313255787598e-07,1.922537160648838e-15,235
1,29,18,3.951959805342576e-07,2.869471066979031e-15,218
1,29,19,3.574273165948736e-07,2.952436426662062e-15,233
1,29,20,3.779390532555695e-07,2.567389457873046e-15,235
1,29,21,4.243021668590838e-07,3.420349175231127e-15,239
1,29,22,3.095906498942529e-07,1.124947855594196e-15,239
1,29,23,3.929723870206595e-07,1.952008917598893e-15,235
1,29,24,3.335391374443271e-07,8.737869902065758e-16,267
1,29,25,3.036059712740975e-07,9.886804941188302e-16,211
1,29,26,3.011702557711606e-07,1.307064807817771e-15,206
1,29,27,3.632511692616602e-07,1.980385940759185e-15,230
1,29,28,1.778539538759813e-07,3.626260112704984e-16,128
1,29,29,4.897875330712251e-08,1.063473316325902e-16,36
1,29,30,1.929152403736499e-08,4.240843199620869e-17,14
1,29,31,1.402694727902235e-08,1.866509098477093e-17,14
1,29,32,1.721366812759725e-08,7.496958525792734e-17,12
1,29,33,7.289773711149356e-09,1.312270579479069e-17,6
1,29,34,3.815794761674165e-09,4.606596398990193e-18,4
1,29,35,2.284490961610081e-08,2.439999613975599e-16,11
1,29,36,1.072089052104458e-08,3.097944370763003e-17,7
1,29,37,2.310376742694948e-08,8.421218045962639e-17,13
1,29,38,1.888984050438702e-08,1.000549334872016e-16,11
1,29,39,3.81753595406644e-08,6.252648784630963e-16,8
1,30,0,8.219901594486788e-09,3.20028752764207e-17,4
1,30,1,2.212423073491746e-08,5.767803491189292e-17,13
1,30,2,1.306052348312549e-08,2.78381564669741e-17,11
1,30,3,4.229300901895138e-09,3.348500221931404e-18,8
1,30,4,1.49085542869682e-08,1.149927312327531e-16,7
1,30,5,2.977959703162992e-08,1.16289887951628e-16,14
1,30,6,1.267777671192287e-08,3.857475764569204e-17,9
1,30,7,9.555918732625453e-09,1.939648112945634e-17,10
1,30,8,3.449627434052048e-08,2.378870408935884e-16,13
1,30,9,3.470628300758771e-08,1.929114365724241e-16,27
1,30,10,3.19970493031429e-08,7.752618516684281e-17,24
1,30,11,3.970571568395804e-08,1.450168958381832e-16,21
1,30,12,1.580221471874912e-07,4.485459119749236e-16,90
1,30,13,3.520325834845546e-07,1.294291824877732e-15,241
1,30,14,3.892205018305269e-07,1.704783668358443e-15,245
1,30,15,4.192947529024139e-07,2.205139264753492e-15,271
1,30,16,3.661669109387907e-07,2.317045563313194e-15,212
1,30,17,3.797066248507604e-07,3.255027145053731e-15,245
1,30,18,3.802131287609705e-07,3.286363067772804e-15,227
1,30,19,3.457340266385022e-07,1.120703222085729e-15,258
1,30,20,3.769531796448619e-07,1.783906723497584e-15,251
1,30,21,2.828521949068037e-07,9.092359489976707e-16,208
1,30,22,4.003745405636943e-07,3.541296053124327e-15,253
1,30,23,4.615402090127985e-07,5.196456644076093e-15,223
1,30,24,4.1660897119061e-07,2.443374978998325e-15,252
1,30,25,3.593347864767564e-07,1.192635367342281e-15,255
1,30,26,2.575348317582359e-07,6.655069096779737e-16,190
