# mesh name: boxMesh_1
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
140,0,0,4.279226776174093e-08,2.489165310508797e-16,25
141,0,0,5.193025264522637e-08,1.687591298089996e-16,31
142,0,0,4.6760781454459e-08,1.871065344118873e-16,26
143,0,0,6.397519882289912e-08,4.28500949999185e-16,22
144,0,0,4.344839749218217e-08,1.596235189799254e-16,24
145,0,0,4.005551655134567e-08,1.497574713753317e-16,25
146,0,0,6.540124706765224e-08,3.359038905438e-16,24
147,0,0,5.374995539625479e-08,2.151371023164723e-16,24
148,0,0,3.883454534982276e-08,1.356648986481489e-16,18
149,0,0,4.176054314728917e-08,1.445090111653775e-16,22
150,0,0,4.271486279314354e-08,1.424297996034087e-16,22
151,0,0,5.203043407135301e-08,2.792091432426576e-16,19
152,0,0,2.653824177082985e-08,8.022009522299186e-17,19
153,0,0,4.616231982513171e-08,2.540069779601141e-16,20
154,0,0,3.871952849300455e-08,1.883166480365182e-16,20
155,0,0,5.107176986844478e-08,3.184960379654422e-16,19
156,0,0,2.528330039318769e-08,7.520139958919201e-17,18
157,0,0,4.259958226224245e-08,2.520352838746105e-16,21
158,0,0,4.485099292835928e-08,2.012109828986374e-16,20
159,0,0,5.223732326034883e-08,4.304707470981027e-16,16
160,0,0,1.582397239876178e-08,3.618776226325313e-17,16
161,0,0,2.365913606653367e-08,9.273901475350531e-17,19
162,0,0,3.05481940429473e-08,9.926461012704657e-17,19
163,0,0,5.408628477329566e-08,3.662483883392279e-16,18
164,0,0,4.94384817643414e-08,3.693939266260732e-16,26
165,0,0,5.615972073057499e-08,3.860860706269399e-16,23
166,0,0,5.823647229208325e-08,3.805007566798814e-16,25
167,0,0,6.76102988818246e-08,4.053852143735385e-16,20
168,0,0,4.855058464852576e-08,1.532423142878362e-16,31
169,0,0,2.94641695825825e-08,1.608945345468133e-16,12
170,0,0,2.191561202058801e-08,5.489470326225926e-17,19
171,0,0,3.505551145844059e-08,1.01642713601961e-16,17
172,0,0,3.019957787419403e-08,1.257474230677936e-16,16
173,0,0,3.020731831615402e-08,1.411653345999828e-16,18
174,0,0,3.534131144009716e-08,1.404125613115567e-16,17
175,0,0,2.904648254041422e-08,9.753144775299345e-17,16
176,0,0,2.653820547713879e-08,8.412283111864275e-17,16
177,0,0,4.000301700258067e-08,2.479542905516656e-16,19
178,0,0,4.668501776997749e-08,1.815674082493457e-16,27
179,0,0,4.846091944504561e-08,2.054760748690012e-16,25
180,0,0,5.574079644585363e-08,2.868595755260613e-16,19
181,0,0,3.632807849693387e-08,1.617121235594805e-16,19
182,0,0,5.098088780347191e-08,3.843849506306664e-16,19
183,0,0,5.895803416883562e-08,4.096929257491925e-16,16
184,0,0,3.883287617996691e-08,1.608034540429475e-16,18
185,0,0,4.172337584948343e-08,2.789186479031916e-16,20
186,0,0,3.181685326009887e-08,1.237001727790684e-16,12
187,0,0,5.123738583735756e-08,3.958478118168135e-16,17
188,0,0,4.848906489806525e-08,2.488760813407376e-16,24
189,0,0,3.777029991939579e-08,1.473365043156819e-16,20
190,0,0,4.316342750347902e-08,2.660350736031219e-16,15
191,0,0,5.438967031896999e-08,6.288869210743241e-16,11
192,0,0,5.427061627568438e-08,2.833774553246356e-16,24
193,0,0,4.722081506604511e-08,2.585216899519427e-16,18
194,0,0,4.32759578436086e-08,2.614589868837849e-16,14
195,0,0,2.485595806940961e-08,9.114182103137576e-17,14
196,0,0,2.173084270220774e-08,7.430508254546288e-17,12
197,0,0,3.305566422098939e-08,2.409894596918437e-16,11
198,0,0,3.333691999381067e-08,1.433210961293276e-16,19
199,0,0,5.639295928699965e-08,3.528421903097899e-16,17
