# mesh name: boxMesh_1
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
71,0,0,1.114284397711717e-05,6.300117298719086e-14,3177
72,0,0,1.104335519652914e-05,6.249842298987225e-14,3133
73,0,0,1.082339740938102e-05,6.154763368577465e-14,3063
74,0,0,1.073730742938024e-05,6.504737519415656e-14,2978
75,0,0,1.039664184385997e-05,6.079849555000415e-14,2876
76,0,0,1.009981556547285e-05,6.065547107144608e-14,2791
77,0,0,9.933933107853056e-06,5.860730172249022e-14,2719
78,0,0,9.672485480284002e-06,5.662540698400001e-14,2625
79,0,0,9.238560689262739e-06,5.515549962348313e-14,2543
80,0,0,9.116743683351904e-06,5.817345348494915e-14,2431
81,0,0,8.837588418801562e-06,5.641298926569604e-14,2341
82,0,0,8.409115737050993e-06,4.988659108251485e-14,2279
83,0,0,8.081426014430505e-06,4.809691675889676e-14,2175
84,0,0,7.818262932026697e-06,5.024115411040376e-14,2066
85,0,0,7.830699496499758e-06,5.030698213568751e-14,2046
86,0,0,7.513087818560724e-06,4.966448947273402e-14,1937
87,0,0,7.145830002132997e-06,4.54595631706595e-14,1891
88,0,0,6.677622784099436e-06,4.184265055940067e-14,1779
89,0,0,6.303240312452519e-06,4.052476262989223e-14,1646
90,0,0,5.790441893312541e-06,3.576404860087894e-14,1550
91,0,0,5.922855313431867e-06,3.727137936103898e-14,1493
92,0,0,5.47291002634168e-06,3.602637864231954e-14,1422
93,0,0,5.025314286110701e-06,3.299273980202068e-14,1298
94,0,0,4.85013427377322e-06,3.025163026277583e-14,1275
95,0,0,4.654024837354367e-06,2.931891363849293e-14,1200
96,0,0,4.297087360695751e-06,2.824336033112257e-14,1095
97,0,0,4.089840581432238e-06,2.670840206304339e-14,1035
98,0,0,3.799485030302138e-06,2.49582488289479e-14,965
99,0,0,3.465802423695369e-06,2.260462141950702e-14,895
100,0,0,3.642666313337467e-06,2.958338159484126e-14,852
101,0,0,3.223450954269603e-06,2.220668529456548e-14,789
102,0,0,2.92292338708412e-06,1.965418485289565e-14,716
103,0,0,2.660053547333699e-06,1.7632147642349e-14,632
104,0,0,2.295669987720687e-06,1.55888066694431e-14,570
105,0,0,2.175343977530841e-06,1.477598353323641e-14,506
106,0,0,1.927491013675679e-06,1.425101709321247e-14,454
107,0,0,1.844958490320308e-06,1.336809046426937e-14,414
108,0,0,1.544254442008772e-06,1.007140444081016e-14,369
109,0,0,1.436067907053586e-06,1.102607885714438e-14,326
110,0,0,1.124673322189304e-06,7.567012839839154e-15,281
111,0,0,9.6181216869146e-07,6.552817857967068e-15,227
112,0,0,1.070746666811477e-06,9.361808387712079e-15,229
113,0,0,7.570787781151133e-07,5.599098378358137e-15,168
114,0,0,6.237159225632838e-07,4.230752731913702e-15,159
115,0,0,5.858489298568052e-07,4.374338804275964e-15,129
116,0,0,5.360651949274554e-07,4.09962801354169e-15,123
117,0,0,3.902476843516285e-07,3.314539991200143e-15,95
118,0,0,2.873151262220582e-07,1.851868517515625e-15,75
119,0,0,2.532988512431702e-07,1.780737570680077e-15,77
120,0,0,2.337220851972199e-07,1.630310850566539e-15,65
121,0,0,2.383694050264326e-07,1.768421855932642e-15,60
122,0,0,1.353433117607543e-07,7.295337515914592e-16,48
123,0,0,1.990271888111642e-07,1.823833392311897e-15,51
124,0,0,1.426504755173746e-07,7.858688882433497e-16,50
125,0,0,1.237115913562886e-07,7.1344270137517e-16,49
126,0,0,1.152595793151299e-07,6.575185688120553e-16,39
127,0,0,7.426744757032038e-08,3.003987135879382e-16,37
128,0,0,6.557182134750957e-08,3.063174932348055e-16,24
129,0,0,9.130445409255722e-08,5.641163868853294e-16,36
130,0,0,8.440820550737937e-08,4.529678971180705e-16,34
131,0,0,7.597751622166712e-08,4.306610015382687e-16,32
132,0,0,8.00897975590748e-08,5.263320185178892e-16,34
133,0,0,7.469282960452084e-08,4.651264619488715e-16,25
134,0,0,7.403651231917286e-08,3.751889469430401e-16,33
135,0,0,5.00377431226694e-08,1.97646208029692e-16,23
136,0,0,5.052289549342168e-08,2.080008925772032e-16,24
137,0,0,5.720866716512866e-08,3.544774057108302e-16,22
138,0,0,7.603389711254295e-08,3.423424968081967e-16,32
139,0,0,6.739131544882841e-08,4.285479832051901e-16,27
140,0,0,6.506951784369991e-08,3.352035128634594e-16,22
141,0,0,4.697725789238245e-08,1.80426408749951e-16,23
142,0,0,3.311887034297133e-08,9.693520214977913e-17,19
143,0,0,1.976532628628128e-08,3.886375975013509e-17,16
144,0,0,2.611050688241234e-08,9.235406483699175e-17,16
145,0,0,4.692107356842205e-08,2.288355859639816e-16,23
146,0,0,7.001283614692716e-08,5.918690033414905e-16,25
147,0,0,8.028498027212417e-08,6.561888319626838e-16,28
148,0,0,8.955455193400484e-08,7.212185521545776e-16,27
149,0,0,5.218502695793729e-08,2.043207854938503e-16,27
150,0,0,5.296437212160353e-08,2.880396171148769e-16,24
151,0,0,3.945015494771821e-08,1.630578368366363e-16,18
152,0,0,5.053095416375504e-08,2.312914143196343e-16,23
153,0,0,5.055416048649618e-08,3.180549352847544e-16,24
154,0,0,4.997346799029432e-08,2.156924408528378e-16,25
155,0,0,4.217209107297501e-08,2.593799662746292e-16,16
156,0,0,2.32337596503529e-08,6.134765003586398e-17,17
157,0,0,2.648568516244255e-08,3.889194743227314e-16,8
158,0,0,1.8583413021874e-08,6.492441759038601e-17,15
159,0,0,1.622081517400195e-08,4.316434820956871e-17,14
160,0,0,2.487363897198498e-08,1.014258655460495e-16,18
161,0,0,4.448743303012112e-08,2.465336833259809e-16,23
162,0,0,1.310742806194527e-08,2.636525835359247e-17,19
163,0,0,3.208068871518234e-08,1.160566123887086e-16,16
164,0,0,3.889986867608431e-08,3.012171396780728e-16,17
165,0,0,4.191740429595331e-08,1.895395343869452e-16,26
166,0,0,4.880981096642661e-08,2.787763186246094e-16,24
167,0,0,2.704669362869528e-08,1.429573150234659e-16,10
168,0,0,1.530180979368165e-08,3.159445387722432e-17,16
169,0,0,1.747083970759481e-08,5.425522967775974e-17,12
170,0,0,2.42632534040174e-08,8.241363900844985e-17,12
171,0,0,3.9173103610335e-08,2.471972386204949e-16,18
172,0,0,5.761989528308531e-08,5.762706070588575e-16,18
173,0,0,3.058240073809105e-08,9.387126782044817e-17,17
174,0,0,2.149075836009501e-08,1.307337033871489e-16,8
175,0,0,4.118866245808668e-08,3.170731826303282e-16,17
176,0,0,3.717945279351142e-08,2.082726443011197e-16,16
177,0,0,3.296926201755085e-08,2.03763410230682e-16,19
178,0,0,3.462332766268935e-08,1.201359369459285e-16,23
179,0,0,4.57670177908915e-08,4.561115344091557e-16,14
180,0,0,3.4223180504455e-08,1.023241811050958e-16,21
