# mesh name: boxMesh_1
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
152,0,0,4.989948923234919e-08,2.054092773563141e-16,25
153,0,0,4.424263453814738e-08,1.600131481723336e-16,21
154,0,0,7.923155120444774e-08,5.878399404388209e-16,24
155,0,0,5.666100391199338e-08,4.120505562428283e-16,20
156,0,0,4.254836342317217e-08,1.400634785031287e-16,24
157,0,0,5.288456940397256e-08,1.9654645550956e-16,23
158,0,0,5.565763314844411e-08,3.558437033516193e-16,23
159,0,0,5.554517295280041e-08,3.127541859958345e-16,22
160,0,0,6.944475175808392e-08,5.618560679596888e-16,23
161,0,0,3.695546126536954e-08,2.467316213108754e-16,13
162,0,0,2.055965011281909e-08,8.557576259870715e-17,15
163,0,0,4.984431363087366e-08,3.342019559487219e-16,20
164,0,0,3.268518973156692e-08,1.083773466542735e-16,18
165,0,0,4.526444435427028e-08,2.377006347288941e-16,23
166,0,0,3.505317755246278e-08,1.72462027107891e-16,18
167,0,0,3.877130867772107e-08,1.440363389940796e-16,19
168,0,0,6.577009369997293e-08,4.677937820522963e-16,22
169,0,0,5.180648898285261e-08,3.625719875186086e-16,19
170,0,0,3.852263398480078e-08,2.529602017454186e-16,15
171,0,0,3.729327927670569e-08,1.16465776942204e-16,20
172,0,0,5.896508444982012e-08,4.348315012065772e-16,20
173,0,0,3.415423987384488e-08,1.783191668006355e-16,18
174,0,0,3.87711879280047e-08,2.393105665442275e-16,15
175,0,0,3.643978314504805e-08,2.436200983548941e-16,18
176,0,0,2.442683498765603e-08,9.185910702014315e-17,9
177,0,0,7.032745710394519e-08,4.988420539739394e-16,22
178,0,0,3.762523827740209e-08,1.928173774103973e-16,13
179,0,0,2.673545632257076e-08,7.684492143179605e-17,17
180,0,0,3.740686552357108e-08,1.980284683444945e-16,14
181,0,0,2.275319264455404e-08,1.107281583415028e-16,15
182,0,0,4.204465236097544e-08,1.853167761403811e-16,17
183,0,0,4.782824303842952e-08,1.905571686021161e-16,26
184,0,0,7.563601011338207e-08,6.215509917620422e-16,21
185,0,0,4.955841582797777e-08,3.142364982307928e-16,20
186,0,0,2.860589067229731e-08,1.028918950320951e-16,16
187,0,0,5.065893862963833e-08,2.55257470675737e-16,20
188,0,0,5.377157794308247e-08,3.368508812489461e-16,20
189,0,0,4.020011337595451e-08,1.901999977810434e-16,18
190,0,0,3.290609058315254e-08,1.13682112574727e-16,17
191,0,0,3.499829675434323e-08,1.515142416523093e-16,18
192,0,0,4.217739085083147e-08,1.491290501396002e-16,20
193,0,0,6.956537543380355e-08,4.859022801275778e-16,25
194,0,0,6.804353124192063e-08,4.596232261954609e-16,22
195,0,0,5.72631004150902e-08,3.051688399504891e-16,25
196,0,0,4.4393984227899e-08,1.596334202619752e-16,20
197,0,0,4.525278754552414e-08,3.049913453467268e-16,13
198,0,0,3.532066802895198e-08,2.473698927490205e-16,10
199,0,0,3.92913251621414e-08,2.087040426238141e-16,13
