event ID: 1672773	scintillation events:168	Cerenkov events: 0
event ID: 1718216	scintillation events:1910	Cerenkov events: 37
event ID: 1718318	scintillation events:543	Cerenkov events: 15
event ID: 1723957	scintillation events:2909	Cerenkov events: 54
event ID: 1738748	scintillation events:1155	Cerenkov events: 34
event ID: 1752136	scintillation events:4020	Cerenkov events: 107
event ID: 1757681	scintillation events:1924	Cerenkov events: 67
event ID: 1757875	scintillation events:626	Cerenkov events: 12
event ID: 1771739	scintillation events:1191	Cerenkov events: 34
event ID: 1788719	scintillation events:327	Cerenkov events: 0
event ID: 1799576	scintillation events:2447	Cerenkov events: 60
event ID: 1819562	scintillation events:207	Cerenkov events: 0
event ID: 1839164	scintillation events:259	Cerenkov events: 3
event ID: 1853148	scintillation events:1442	Cerenkov events: 35
event ID: 1857316	scintillation events:705	Cerenkov events: 28
event ID: 1857475	scintillation events:3629	Cerenkov events: 86
event ID: 1863088	scintillation events:4725	Cerenkov events: 81
event ID: 1886257	scintillation events:6784	Cerenkov events: 194
event ID: 1917263	scintillation events:2659	Cerenkov events: 54
event ID: 1922102	scintillation events:1826	Cerenkov events: 45
event ID: 1922327	scintillation events:542	Cerenkov events: 0
event ID: 1922437	scintillation events:439	Cerenkov events: 13
event ID: 1922460	scintillation events:4	Cerenkov events: 0
event ID: 1949842	scintillation events:291	Cerenkov events: 10
event ID: 1964665	scintillation events:144	Cerenkov events: 0
event ID: 1976068	scintillation events:2902	Cerenkov events: 110
event ID: 1985335	scintillation events:94	Cerenkov events: 0
event ID: 1991611	scintillation events:76	Cerenkov events: 0
event ID: 1991740	scintillation events:515	Cerenkov events: 29
