# mesh name: boxMesh_1
# primitive scorer name: dose
# iX, iY, iZ, total(value) [Gy], total(val^2), entry
89,0,0,2.958226647563014e-06,1.835970709104746e-14,773
90,0,0,2.655576195158931e-06,1.679277446795814e-14,680
91,0,0,2.40202847926315e-06,1.518391974974592e-14,612
92,0,0,2.027541181359376e-06,1.330103549177476e-14,531
93,0,0,1.717715322319963e-06,1.055955476647669e-14,463
94,0,0,1.65240846695646e-06,1.116817101065183e-14,410
95,0,0,1.344992075885569e-06,8.025660465552439e-15,371
96,0,0,1.235720562227359e-06,8.387807068424331e-15,322
97,0,0,1.202439004898382e-06,7.534640756597548e-15,307
98,0,0,1.008590813679002e-06,6.121106927347142e-15,264
99,0,0,8.226624165266696e-07,5.248158054471847e-15,216
100,0,0,6.602724307713963e-07,4.034072551435437e-15,181
101,0,0,4.437303997224788e-07,2.645319627749616e-15,136
102,0,0,5.029198982281335e-07,3.687732653466676e-15,126
103,0,0,3.789258691412907e-07,2.365782979259606e-15,101
104,0,0,3.075624993645548e-07,1.951369268011746e-15,90
105,0,0,3.169074875967515e-07,2.04399072598577e-15,88
106,0,0,2.58749414580687e-07,2.133517600360868e-15,71
107,0,0,2.07075465105459e-07,1.334403289324615e-15,60
108,0,0,1.36795248984534e-07,8.408295075142795e-16,47
109,0,0,9.75885523864405e-08,4.88067784108781e-16,50
110,0,0,8.23932088265122e-08,3.713611692441982e-16,40
111,0,0,8.594038282168039e-08,6.206095255831684e-16,31
112,0,0,5.406050304914795e-08,3.120974790717204e-16,37
113,0,0,3.429773770614347e-08,1.230564680029742e-16,24
114,0,0,4.800401704741342e-08,2.150426948282966e-16,24
115,0,0,5.593751288085004e-08,4.323358725808447e-16,26
116,0,0,4.114211803940928e-08,2.128633077854221e-16,25
117,0,0,3.172309812448862e-08,1.479589607790535e-16,23
118,0,0,4.883088171603739e-08,2.283450750496028e-16,28
119,0,0,3.889075592404269e-08,1.446894010793517e-16,25
120,0,0,4.815423591991608e-08,1.853895006994878e-16,31
121,0,0,4.447108541400278e-08,1.603042366151102e-16,32
122,0,0,4.789176637279318e-08,1.711911561864165e-16,34
123,0,0,5.024233976211458e-08,2.292596030828073e-16,24
124,0,0,6.389792693999326e-08,3.348801502535643e-16,28
125,0,0,1.10025972421256e-07,9.399716662773769e-16,36
126,0,0,2.031807965680075e-08,4.889029517153196e-17,20
127,0,0,4.256125368091975e-08,2.912064585976155e-16,22
128,0,0,2.35559030615523e-08,7.347078658197946e-17,21
129,0,0,6.913971302484239e-08,3.403589461682905e-16,32
130,0,0,4.903845384501418e-08,1.865317437374002e-16,24
131,0,0,6.869638162575847e-08,3.719601742634221e-16,31
132,0,0,3.775281310916378e-08,1.544073627198112e-16,25
133,0,0,4.627188262849876e-08,1.610471601109152e-16,26
134,0,0,3.993844223626481e-08,1.891931337860055e-16,22
135,0,0,5.814096795442424e-08,2.383656925941574e-16,31
136,0,0,5.239130705859977e-08,1.775451256287682e-16,28
137,0,0,9.88867389442828e-08,1.650931941504055e-15,29
138,0,0,6.56324938689638e-08,3.226721909603982e-16,33
139,0,0,5.197989371360165e-08,2.326026738338059e-16,21
140,0,0,5.334631569815351e-08,2.185375796511283e-16,23
141,0,0,7.162043669451578e-08,4.046960325278574e-16,32
142,0,0,4.773501521355619e-08,2.032973121352715e-16,22
143,0,0,4.105802502310529e-08,1.801559031512366e-16,23
144,0,0,2.353423740330547e-08,9.101478082104832e-17,17
145,0,0,3.072746843233815e-08,1.098724589000913e-16,22
146,0,0,3.434427110826715e-08,1.638007368300877e-16,17
147,0,0,4.490461490666469e-08,2.223405684454575e-16,24
148,0,0,4.654433078008331e-08,2.792132923408787e-16,19
149,0,0,2.342731971016362e-08,9.076472237814179e-17,15
150,0,0,3.456496847467656e-08,1.042567017838169e-16,22
151,0,0,4.863475029859742e-08,3.236379774087716e-16,27
152,0,0,4.931348812707875e-08,2.180803783753954e-16,27
153,0,0,2.710054786579625e-08,8.757364986520843e-17,16
154,0,0,3.005451514417082e-08,1.158490371474685e-16,23
155,0,0,3.570086826679371e-08,9.847055885470464e-17,19
156,0,0,6.566627003761648e-08,4.1924034258577e-16,26
157,0,0,5.495254317211479e-08,2.505509418155806e-16,26
158,0,0,4.447775105612009e-08,4.281059552317104e-16,18
159,0,0,3.456509811068458e-08,1.212816836069701e-16,23
160,0,0,5.972985820353658e-08,3.815657765331315e-16,22
161,0,0,6.778919038717877e-08,3.032709232149389e-16,34
162,0,0,3.970146864142592e-08,1.898250944108763e-16,16
163,0,0,4.622531225173333e-08,2.202279556516883e-16,18
164,0,0,5.283183229570837e-08,3.220311914875812e-16,19
165,0,0,2.549697514188269e-08,7.701113914727296e-17,21
166,0,0,7.480116786327216e-08,6.146862650808627e-16,28
167,0,0,6.664532550555917e-08,4.601479661279192e-16,32
168,0,0,2.673958026045966e-08,7.368813385323074e-17,20
169,0,0,6.19474743183686e-08,4.41538930607424e-16,18
170,0,0,4.999935237881969e-08,2.711818448129128e-16,21
171,0,0,3.040587124990497e-08,7.945643683522411e-17,24
172,0,0,2.576603413050208e-08,4.959964424134008e-17,20
173,0,0,4.692874237369263e-08,2.45623206966103e-16,25
174,0,0,5.259079011709054e-08,2.246130258462546e-16,25
175,0,0,4.490507773839495e-08,2.911355830207592e-16,24
176,0,0,6.329380331561797e-08,4.480515584863916e-16,21
177,0,0,4.0285697497334e-08,1.956734479386658e-16,21
178,0,0,2.302133585973631e-08,8.251851659888314e-17,14
179,0,0,4.915614609702562e-08,2.612603531675234e-16,23
180,0,0,4.620400326367869e-08,2.374350324464601e-16,19
181,0,0,3.173303855333739e-08,2.211642210730329e-16,14
182,0,0,1.204007273436869e-08,3.458529016426504e-17,11
183,0,0,2.811769694878405e-08,1.220645126256123e-16,17
184,0,0,3.015672986328809e-08,1.497410643233029e-16,19
185,0,0,4.03561327481702e-08,1.608825681964877e-16,20
186,0,0,2.161458947757222e-08,7.20457600602563e-17,12
187,0,0,2.747301802922656e-08,3.075752432644758e-16,12
188,0,0,3.708802360348036e-08,2.125651092684733e-16,13
189,0,0,2.978560679155551e-08,1.451315318705175e-16,17
190,0,0,1.998536863760705e-08,5.229308912869532e-17,20
191,0,0,4.987104359091641e-08,3.925058765340714e-16,17
192,0,0,3.140320779777303e-08,1.782753172213046e-16,15
193,0,0,2.303752580567884e-08,9.039327579056625e-17,18
194,0,0,3.50233872180309e-08,2.185841633585268e-16,17
195,0,0,2.324109272276175e-08,9.230362526322694e-17,20
196,0,0,4.520337256306973e-08,4.074818680660856e-16,15
197,0,0,2.25047510359289e-08,6.04545013025506e-17,19
198,0,0,4.778701958759211e-08,2.373192354990802e-16,20
199,0,0,3.267190076314796e-08,1.432304720775348e-16,19
